Date: 19/08/2026
Guest: Debbie McGee
Max: 133

ROUND,S,E,L,E,C,T,I,O,N,TARGET,ANSWERS
L01,N,C,N,A,O,E,S,R,H,,"SCANNER, SCANNER, ANCHORS, HOARSEN"
L02,T,S,K,W,I,O,N,L,A,,"TALONS, TOWAIS"
N01,75,1,7,9,6,4,,,,695,
T01,"If AC/DC were Scottish, their famous hit would sound so different.",
T01,G,O,L,D,S,H,O,E,,,SHOOGLED
L03,D,N,T,R,O,E,O,E,X,,"ROOTED, RODENT"
L04,T,R,D,I,E,I,L,H,C,,"DICIER, CEILIDH"
N02,50,5,10,2,7,2,,,,914,
L05,T,G,N,E,A,I,T,P,S,,"TANGIEST, SPATTING, PATIENTS"
L06,G,N,G,N,O,E,O,I,P,,"OPENING, POONING"
N03,3,6,1,10,1,4,,,,278,
T02,He's not waiting in the sky; he's working in the shop.,
T02,R,O,N,S,M,A,T,E,,,STOREMAN
L07,R,L,J,D,E,U,I,O,T,,"OUTLIER, DILUTER, OUTRIDE"
L08,R,S,T,I,E,O,M,D,E,,"TIRESOME, DOSIMETER"
L09,T,P,T,Y,S,I,A,E,A,,"PATTIES, PATTIES, SATIATE"
L10,R,D,R,E,O,I,M,L,C,,"MELODIC, LORIMER"
N04,75,6,10,7,5,2,,,,979,
C01,A,G,U,I,L,E,R,R,R,,
